Ground Truth,Strategy 0,Strategy 1,Strategy 2,Strategy 3,Strategy 4,Strategy 5,Strategy 6,Strategy 7,Strategy 8,Strategy 9
-1552.139518,-13.947812,-16.96234,-74.56354,-1.3793296,-53.24169,-86.38514,-43.83489,-96.6377,-57.429756,-33.083687
-1555.379401,-12.149437,-15.2036,-71.648605,2.0025003,-52.1212,-87.248436,-46.418884,-97.68372,-57.670177,-29.274385
-1563.888636,-50.99479,-3.5859272,-33.202564,-75.43177,-0.97877043,-84.05525,-63.22815,-24.353828,-97.485405,-119.93358
-1556.822377,-48.61566,-1.9490447,-39.47221,-70.37391,-0.018161377,-92.784325,-78.91319,-21.69483,-100.60221,-116.00973
-1552.145831,-48.59243,-1.9795843,-38.873543,-70.20136,0.06480524,-91.58434,-77.275856,-21.633583,-99.827675,-115.82216
-1561.028183,-49.465183,-2.1607487,-39.293365,-71.322395,-0.75884974,-92.33103,-77.30375,-22.12537,-100.40345,-117.23145
-1550.951184,-48.849472,-2.1491826,-39.15831,-70.43529,-0.3388352,-91.982254,-77.74237,-21.749784,-99.99895,-115.89747
-1556.395639,-49.362022,-2.2245338,-39.25136,-70.940125,-0.6345266,-92.142105,-77.394714,-21.977907,-100.173805,-116.63624
-1546.001474,-12.478908,-15.426052,-71.58683,1.5566524,-51.892464,-86.91029,-46.07293,-97.21564,-57.400608,-29.415144
-1550.58291,-12.342157,-15.275562,-71.592186,1.84475,-51.937542,-87.23059,-46.539337,-97.59635,-57.626373,-29.083553
-1562.996438,-48.796665,-1.9236372,-40.309258,-69.70168,0.16071261,-94.879456,-81.42782,-21.797867,-101.45985,-116.083275
-1556.484823,-49.358665,-2.211316,-38.87683,-71.05663,-0.58335996,-91.65726,-76.55078,-22.016478,-99.898315,-116.77083
-1563.942506,-66.17757,-16.188843,-0.22045977,-109.563484,-16.99784,-47.30588,2.0582967,-40.357147,-85.52079,-141.868
-1563.064514,-50.767654,-3.0673246,-36.51567,-73.95974,-1.5056311,-88.66253,-70.682304,-23.254606,-99.19021,-118.976265
-1512.242131,-14.056912,-16.152935,-70.9232,0.1413121,-50.988815,-85.82976,-45.411983,-95.49971,-56.675266,-29.649467
-1550.867725,-47.492485,-1.2671443,-39.02289,-69.04335,0.9872794,-91.900024,-78.387184,-21.043919,-99.73387,-114.8948
-1549.737803,-11.850571,-14.871779,-71.01261,2.2962916,-51.73852,-87.01792,-46.69306,-97.36859,-57.421776,-28.530117
-1548.465559,-47.006927,-1.0515351,-39.241043,-68.30861,1.3386468,-92.283226,-79.28801,-20.722755,-99.7274,-114.27111
-1552.449751,-11.860202,-14.906386,-71.15489,2.3183396,-51.827087,-87.097694,-46.69092,-97.50064,-57.474876,-28.644102
-1547.230917,-14.214743,-16.719482,-73.43451,-0.6452808,-52.71863,-87.407555,-45.489952,-97.61394,-57.999428,-31.199265
-1554.636,-47.63515,-1.5418209,-40.06719,-68.75152,0.95267576,-94.08877,-81.331375,-21.20202,-100.94303,-114.78649
-1546.709012,-47.172672,-1.1649256,-38.957115,-68.55983,1.1997209,-91.771484,-78.42941,-20.861925,-99.474655,-114.36453
-1561.487665,-52.677315,-6.6878467,-32.160866,-79.327484,0.5188186,-80.83059,-56.28138,-27.987823,-98.282295,-122.46392
-1561.426379,-55.266106,-7.3811026,-0.7353811,-92.791374,-4.022265,-44.28544,-0.4282188,-32.65279,-79.61146,-129.45486
